unnamed: 0,age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,sameasmonthlyincome,datebirth,roledepartament,remotework
0,51,No,,684.0,,6,3,,"162,0",1,Male,51,3,5, research director ,3,,"19537,0",6462,7,No,13,"3,0",3,0,,5,"3,0",20,,15,15,"19537,0",1972,,Yes
1,52,No,,699.0,,1,4,life sciences,"259,0",3,Male,65,2,5, manager ,3,,"19999,0",5678,0,,14,"3,0",1,1,"34,0",5,"3,0",33,,11,9,"19999,0",1971,,1
2,42,No,travel rarely,532.0, research & development ,4,2,technical degree,"319,0",3,Male,58,3,5, manager ,4,Married,"19232,0",4933,1,No,11,"3,0",4,0,"22,0",3,,22,,11,15,"19232,0",1981, manager  -  research & development ,1
3,47,No,travel rarely,359.0,,2,4,medical,,1,Female,82,3,4, research director ,3,Married,"17169,0",26703,3,,19,"3,0",2,2,,2,,20,,5,6,"17169,0",1976,,False
4,46,No,,1319.0,,3,3,technical degree,,1,Female,45,4,4, sales executive ,1,Divorced,,7739,2,No,12,"3,0",4,1,,5,"3,0",19,,2,8,,1977,,0
5,48,No,,117.0, research & development ,22,3,medical,"1900,0",4,Female,58,3,4, manager ,4,,"17174,0",2437,3,No,11,"3,0",2,1,,3,"3,0",22,,4,7,"17174,0",1975, manager  -  research & development ,Yes
6,59,No,,1435.0,,25,3,life sciences,"81,0",1,Female,99,3,3, sales executive ,1,,,2354,7,,11,"3,0",4,0,"28,0",3,"2,0",21,,7,9,,1964,,True
7,42,No,travel rarely,635.0,,1,1,,"387,0",2,Male,99,3,2, sales executive ,3,Married,,24532,1,No,25,"4,0",3,0,"20,0",3,"3,0",20,,11,6,,1981,,0
8,41,No,,1276.0,,2,5,,,2,Female,91,3,4, manager ,1,Married,"16595,0",5626,7,No,16,"3,0",2,1,"22,0",2,"3,0",18,,11,8,"16595,0",1982,,True
9,41,No,travel frequently,840.0,,9,3,,"999,0",1,Male,64,3,5, research director ,3,,,3735,2,No,17,"3,0",2,1,"21,0",2,"4,0",18,,0,11,,1982,,0
10,41,No,non travel,247.0,,7,1,,"1035,0",2,Female,55,1,5, research director ,3,,"19973,0",20284,1,No,22,"4,0",2,2,,3,"3,0",21,,5,10,"19973,0",1982,,0
11,56,No,travel rarely,1369.0,,23,3,life sciences,,4,Male,68,3,4, manufacturing director ,2,Married,"13402,0",18235,4,Yes,12,,1,1,"33,0",0,"3,0",19,,15,9,"13402,0",1967,,False
12,38,No,,201.0,,10,3,medical,,2,Female,99,1,3, research director ,3,Married,"13206,0",3376,3,No,12,"3,0",1,1,,3,"3,0",18,,1,11,"13206,0",1985,,1
13,41,Yes,travel rarely,1360.0,,12,3,,"58,0",2,Female,49,3,5, research director ,3,Married,"19545,0",16280,1,No,12,"3,0",4,0,,0,"3,0",22,,15,8,"19545,0",1982,,False
