employeenumber,age,attrition,businesstravel,dailyrate,distancefromhome,education,educationfield,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,datebirth,remotework
1620,51,No,travel rarely,684.0,6,3,life sciences,1,Male,51,3,5, research director ,3,married,195370.0,6462,7,No,13,3.0,3,0,10.0,5,3.0,20,15,15,1972,Yes
2590,52,No,travel rarely,699.0,1,4,life sciences,3,Male,65,2,5, manager ,3,married,199990.0,5678,0,No,14,3.0,1,1,34.0,5,3.0,33,11,9,1971,Yes
3190,42,No,travel rarely,532.0,4,2,technical degree,3,Male,58,3,5, manager ,4,married,192320.0,4933,1,No,11,3.0,4,0,22.0,3,2.8,22,11,15,1981,Yes
20681,47,No,travel rarely,359.0,2,4,medical,1,Female,82,3,4, research director ,3,married,171690.0,26703,3,No,19,3.0,2,2,10.0,2,2.8,20,5,6,1976,No
19000,48,No,travel rarely,117.0,22,3,medical,4,Female,58,3,4, manager ,4,married,171740.0,2437,3,No,11,3.0,2,1,10.0,3,3.0,22,4,7,1975,Yes
810,59,No,travel rarely,1435.0,25,3,life sciences,1,Female,99,3,3, sales executive ,1,married,48620.0,2354,7,No,11,3.0,4,0,28.0,3,2.0,21,7,9,1964,Yes
3870,42,No,travel rarely,635.0,1,1,life sciences,2,Male,99,3,2, sales executive ,3,married,48620.0,24532,1,No,25,4.0,3,0,20.0,3,3.0,20,11,6,1981,No
9990,41,No,travel frequently,840.0,9,3,life sciences,1,Male,64,3,5, research director ,3,married,48620.0,3735,2,No,17,3.0,2,1,21.0,2,4.0,18,0,11,1982,No
10350,41,No,non travel,247.0,7,1,life sciences,2,Female,55,1,5, research director ,3,married,199730.0,20284,1,No,22,4.0,2,2,10.0,3,3.0,21,5,10,1982,No
580,41,Yes,travel rarely,1360.0,12,3,life sciences,2,Female,49,3,5, research director ,3,married,195450.0,16280,1,No,12,3.0,4,0,10.0,0,3.0,22,15,8,1982,No
5580,40,No,travel rarely,1398.0,2,4,life sciences,3,Female,79,3,5, manager ,3,married,180410.0,13022,0,No,14,3.0,4,0,10.0,2,3.0,20,1,12,1983,No
8250,58,Yes,travel rarely,286.0,2,4,life sciences,4,Male,31,3,5, research director ,2,single,192460.0,25761,7,Yes,12,3.0,4,0,40.0,2,3.0,31,13,8,1965,No
17120,45,No,non travel,1238.0,1,1,life sciences,3,Male,74,2,3, healthcare representative ,3,married,107480.0,3395,3,No,23,4.0,4,1,25.0,3,2.0,23,14,4,1978,No
730,33,No,travel rarely,515.0,1,2,life sciences,1,Female,98,3,3, research director ,4,single,48620.0,15146,1,Yes,12,3.0,3,0,15.0,1,3.0,15,8,12,1990,Yes
8200,47,No,travel rarely,202.0,2,2,other,3,Female,33,3,4, manager ,4,married,167520.0,12982,1,No,11,3.0,3,1,10.0,3,2.0,26,3,0,1976,No
12940,36,No,travel rarely,429.0,2,4,life sciences,3,Female,53,3,2, manufacturing director ,2,single,48620.0,2323,9,Yes,11,3.0,4,0,18.0,2,3.0,16,5,12,1987,No
17740,34,No,non travel,803.1,10,3,life sciences,4,Male,87,3,2, sales executive ,3,married,40010.0,12313,1,Yes,14,3.0,3,1,15.0,3,3.0,15,0,7,1989,Yes
18150,41,No,travel rarely,803.1,37,1,life sciences,37,Female,81,3,3, sales executive ,3,divorced,104470.0,26458,0,No,13,3.0,4,1,10.0,3,4.0,22,13,5,1982,Yes
19930,47,No,travel rarely,1180.0,25,3,medical,1,Male,84,3,3, healthcare representative ,3,married,48620.0,13084,2,No,23,4.0,2,0,25.0,3,3.0,17,12,11,1976,Yes
320,53,No,travel rarely,1282.0,5,3,life sciences,3,Female,58,3,5, manager ,3,married,48620.0,10735,4,No,11,3.0,4,1,26.0,3,2.0,14,4,8,1970,Yes
1000,35,No,travel rarely,776.0,1,4,marketing,3,Male,32,2,2, sales executive ,1,single,48620.0,23016,0,No,14,3.2,2,0,16.0,2,3.0,15,2,8,1988,No
2440,46,No,travel rarely,526.0,1,2,life sciences,2,Female,92,3,3, sales executive ,1,divorced,48620.0,2137,1,No,25,4.0,3,3,24.0,2,3.0,24,15,7,1977,Yes
3270,43,No,travel rarely,1034.0,16,3,life sciences,4,Female,80,3,4, manager ,4,married,160640.0,7744,5,No,22,4.0,3,1,22.0,3,3.0,17,1,9,1980,Yes
3730,36,No,travel rarely,1403.0,6,3,life sciences,4,Male,47,3,1, laboratory technician ,4,married,32100.0,20251,0,No,11,3.0,3,1,16.0,4,3.0,15,10,11,1987,Yes
7290,40,No,travel frequently,580.0,5,4,life sciences,4,Male,48,2,3, sales executive ,1,married,104750.0,23772,5,Yes,21,4.0,3,1,20.0,2,3.0,18,1,12,1983,No
8300,32,No,travel rarely,859.0,4,3,life sciences,3,Female,98,2,2, manufacturing director ,3,married,61620.0,19124,1,No,12,3.0,3,1,14.0,3,3.0,14,6,8,1991,No
9810,53,No,travel rarely,1376.0,2,2,medical,3,Male,0,3,4, manager ,3,divorced,48620.0,13938,6,No,13,3.0,3,1,22.0,3,4.0,17,15,2,1970,No
