employeenumber,age,attrition,businesstravel,dailyrate,distancefromhome,education,educationfield,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,datebirth,remotework
1620.0,51,No,,684.0,6,3,,1,Male,51,3,5, research director ,3,,195370.0,6462,7,No,13,3.0,3,0,,5,3.0,20,15,15,1972,Yes
2590.0,52,No,,699.0,1,4,life sciences,3,Male,65,2,5, manager ,3,,199990.0,5678,0,,14,3.0,1,1,34.0,5,3.0,33,11,9,1971,Yes
3190.0,42,No,travel rarely,532.0,4,2,technical degree,3,Male,58,3,5, manager ,4,married,192320.0,4933,1,No,11,3.0,4,0,22.0,3,,22,11,15,1981,Yes
,47,No,travel rarely,359.0,2,4,medical,1,Female,82,3,4, research director ,3,married,171690.0,26703,3,,19,3.0,2,2,,2,,20,5,6,1976,No
19000.0,48,No,,117.0,22,3,medical,4,Female,58,3,4, manager ,4,,171740.0,2437,3,No,11,3.0,2,1,,3,3.0,22,4,7,1975,Yes
810.0,59,No,,1435.0,25,3,life sciences,1,Female,99,3,3, sales executive ,1,,,2354,7,,11,3.0,4,0,28.0,3,2.0,21,7,9,1964,Yes
3870.0,42,No,travel rarely,635.0,1,1,,2,Male,99,3,2, sales executive ,3,married,,24532,1,No,25,4.0,3,0,20.0,3,3.0,20,11,6,1981,No
9990.0,41,No,travel frequently,840.0,9,3,,1,Male,64,3,5, research director ,3,,,3735,2,No,17,3.0,2,1,21.0,2,4.0,18,0,11,1982,No
10350.0,41,No,non travel,247.0,7,1,,2,Female,55,1,5, research director ,3,,199730.0,20284,1,No,22,4.0,2,2,,3,3.0,21,5,10,1982,No
580.0,41,Yes,travel rarely,1360.0,12,3,,2,Female,49,3,5, research director ,3,married,195450.0,16280,1,No,12,3.0,4,0,,0,3.0,22,15,8,1982,No
5580.0,40,No,travel rarely,1398.0,2,4,,3,Female,79,3,5, manager ,3,,180410.0,13022,0,No,14,3.0,4,0,,2,3.0,20,1,12,1983,No
8250.0,58,Yes,travel rarely,286.0,2,4,,4,Male,31,3,5, research director ,2,single,192460.0,25761,7,Yes,12,3.0,4,0,40.0,2,3.0,31,13,8,1965,No
17120.0,45,No,non travel,1238.0,1,1,,3,Male,74,2,3, healthcare representative ,3,,107480.0,3395,3,,23,4.0,4,1,25.0,3,2.0,23,14,4,1978,No
730.0,33,No,,515.0,1,2,life sciences,1,Female,98,3,3, research director ,4,single,,15146,1,Yes,12,3.0,3,0,15.0,1,3.0,15,8,12,1990,Yes
8200.0,47,No,,202.0,2,2,other,3,Female,33,3,4, manager ,4,married,167520.0,12982,1,,11,3.0,3,1,,3,2.0,26,3,0,1976,No
12940.0,36,No,,429.0,2,4,life sciences,3,Female,53,3,2, manufacturing director ,2,single,,2323,9,Yes,11,3.0,4,0,18.0,2,3.0,16,5,12,1987,No
17740.0,34,No,non travel,,10,3,life sciences,4,Male,87,3,2, sales executive ,3,,40010.0,12313,1,Yes,14,3.0,3,1,15.0,3,3.0,15,0,7,1989,Yes
18150.0,41,No,,,37,1,,37,Female,81,3,3, sales executive ,3,divorced,104470.0,26458,0,,13,3.0,4,1,,3,4.0,22,13,5,1982,Yes
19930.0,47,No,,1180.0,25,3,medical,1,Male,84,3,3, healthcare representative ,3,,,13084,2,,23,4.0,2,0,25.0,3,3.0,17,12,11,1976,Yes
320.0,53,No,travel rarely,1282.0,5,3,,3,Female,58,3,5, manager ,3,,,10735,4,,11,3.0,4,1,26.0,3,2.0,14,4,8,1970,Yes
1000.0,35,No,,776.0,1,4,marketing,3,Male,32,2,2, sales executive ,1,single,,23016,0,No,14,,2,0,16.0,2,3.0,15,2,8,1988,No
2440.0,46,No,travel rarely,526.0,1,2,,2,Female,92,3,3, sales executive ,1,divorced,,2137,1,No,25,4.0,3,3,24.0,2,3.0,24,15,7,1977,Yes
3270.0,43,No,,1034.0,16,3,,4,Female,80,3,4, manager ,4,married,160640.0,7744,5,,22,4.0,3,1,22.0,3,3.0,17,1,9,1980,Yes
3730.0,36,No,,1403.0,6,3,life sciences,4,Male,47,3,1, laboratory technician ,4,married,32100.0,20251,0,,11,3.0,3,1,16.0,4,3.0,15,10,11,1987,Yes
7290.0,40,No,travel frequently,580.0,5,4,,4,Male,48,2,3, sales executive ,1,married,104750.0,23772,5,Yes,21,4.0,3,1,20.0,2,3.0,18,1,12,1983,No
8300.0,32,No,travel rarely,859.0,4,3,,3,Female,98,2,2, manufacturing director ,3,married,61620.0,19124,1,No,12,3.0,3,1,14.0,3,3.0,14,6,8,1991,No
